Type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,Machine failure,Tool wear failure,Heat dissipation failure,Power failure,Overstrain failure,Random failure,power,temperature difference,high_temperature_flag,high_torque_flag,low_rotational_speed_flag,wear_Stress
L,297.7,309.1,1435,38.8,165,0,0,0,0,0,0,5.830157068062826,11.400000000000034,0,0,0,6401.999999999999
M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,5.096251308900524,11.400000000000034,0,0,0,4692.7
L,297.7,309.2,1365,58.6,170,0,0,0,0,0,0,8.375811518324607,11.5,0,1,0,9962.0
L,297.7,309.1,1562,36.8,172,0,0,0,0,0,0,6.019015706806282,11.400000000000034,0,0,0,6329.599999999999
L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,7.449832460732985,11.5,0,0,0,8543.4
M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,4.877486910994764,11.5,0,0,0,4822.4
M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,6.8137382198952885,11.399999999999977,0,0,0,8162.400000000001
M,297.6,308.9,1479,38.1,182,0,0,0,0,0,0,5.900513089005236,11.299999999999955,0,0,0,6934.2
L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,6.768167539267016,11.399999999999977,0,0,0,8140.0
L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,6.899057591623037,11.399999999999977,0,0,0,8863.8
L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0,5.087424083769633,11.399999999999977,0,0,0,5310.900000000001
L,297.5,309.0,1470,43.5,191,0,0,0,0,0,0,6.695811518324607,11.5,0,0,0,8308.5
L,297.5,308.9,1459,48.5,193,0,0,0,0,0,0,7.409581151832461,11.399999999999977,0,0,0,9360.5
L,297.5,308.9,1738,24.0,195,0,0,0,0,0,0,4.367748691099476,11.399999999999977,0,0,0,4680.0
H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,5.806984293193718,11.399999999999977,0,0,0,7426.900000000001
L,297.6,309.0,1822,25.4,202,0,0,0,0,0,0,4.845947643979057,11.399999999999977,0,0,0,5130.799999999999
L,297.5,308.9,1554,34.8,204,0,0,0,0,0,0,5.662743455497382,11.399999999999977,0,0,0,7099.2
M,297.6,308.9,1433,43.2,206,0,0,0,0,0,0,6.482261780104713,11.299999999999955,0,0,0,8899.2
L,297.6,308.9,1449,47.7,209,0,0,0,0,0,0,7.237413612565446,11.299999999999955,0,0,0,9969.300000000001
L,297.8,309.0,1456,41.2,0,0,0,0,0,0,0,6.28138219895288,11.199999999999989,0,0,0,0.0
M,297.8,309.1,1424,45.5,2,0,0,0,0,0,0,6.7845026178010475,11.300000000000011,0,0,0,91.0
H,297.9,309.2,1577,34.7,5,0,0,0,0,0,0,5.730041884816754,11.300000000000011,0,0,0,173.5
L,297.9,309.2,1478,39.7,10,0,0,0,0,0,0,6.144146596858639,11.300000000000011,0,0,0,397.0
M,297.8,309.2,1295,61.2,12,0,0,0,0,0,0,8.298848167539267,11.399999999999977,0,1,1,734.4000000000001
L,297.8,309.2,1372,47.3,15,0,0,0,0,0,0,6.795350785340314,11.399999999999977,0,0,0,709.5
M,297.8,309.1,1432,42.6,17,0,0,0,0,0,0,6.387769633507854,11.300000000000011,0,0,0,724.2
M,297.7,309.0,1656,33.2,20,0,0,0,0,0,0,5.756984293193717,11.300000000000011,0,0,0,664.0
H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0,7.205026178010471,11.199999999999989,0,0,0,1122.3999999999999
L,297.7,309.0,1874,24.4,28,0,0,0,0,0,0,4.788020942408377,11.300000000000011,0,0,0,683.1999999999999
L,297.7,309.0,1538,43.2,30,0,0,0,0,0,0,6.957235602094242,11.300000000000011,0,0,0,1296.0
M,297.7,309.0,1636,29.7,32,0,0,0,0,0,0,5.0878743455497375,11.300000000000011,0,0,0,950.4
M,297.7,309.0,1504,40.4,35,0,0,0,0,0,0,6.362471204188481,11.300000000000011,0,0,0,1414.0
M,297.7,309.0,1531,42.4,38,0,0,0,0,0,0,6.797319371727749,11.300000000000011,0,0,0,1611.2
H,297.6,309.0,1735,26.4,41,0,0,0,0,0,0,4.796230366492146,11.399999999999977,0,0,0,1082.3999999999999
H,297.6,309.0,1354,55.6,46,0,0,0,0,0,0,7.88297382198953,11.399999999999977,0,1,1,2557.6
H,297.6,309.0,1413,40.2,51,0,0,0,0,0,0,5.947916230366493,11.399999999999977,0,0,0,2050.2000000000003
L,297.7,309.1,1563,39.3,56,0,0,0,0,0,0,6.432031413612565,11.400000000000034,0,0,0,2200.7999999999997
L,297.7,309.1,1479,42.1,58,0,0,0,0,0,0,6.519989528795811,11.400000000000034,0,0,0,2441.8
L,297.7,309.1,1477,38.3,60,0,0,0,0,0,0,5.923465968586387,11.400000000000034,0,0,0,2298.0
L,297.6,309.1,1394,50.0,62,0,0,0,0,0,0,7.298429319371728,11.5,0,0,0,3100.0
L,297.6,309.0,1487,45.4,64,0,0,0,0,0,0,7.069089005235602,11.399999999999977,0,0,0,2905.6
M,297.6,309.0,1815,25.3,66,0,0,0,0,0,0,4.808324607329843,11.399999999999977,0,0,0,1669.8
M,297.6,308.8,1453,39.7,69,0,0,0,0,0,0,6.040219895287959,11.199999999999989,0,0,0,2739.3
L,297.6,308.8,1539,40.2,72,0,0,0,0,0,0,6.478303664921467,11.199999999999989,0,0,0,2894.4
H,297.5,308.7,1416,39.2,74,0,0,0,0,0,0,5.812272251308901,11.199999999999989,0,0,0,2900.8
M,297.6,308.8,1683,31.6,79,0,0,0,0,0,0,5.568879581151832,11.199999999999989,0,0,0,2496.4
L,297.7,308.8,1515,40.1,82,0,0,0,0,0,0,6.361413612565445,11.100000000000023,0,0,0,3288.2000000000003
M,297.7,308.9,1531,48.3,84,0,0,0,0,0,0,7.743172774869111,11.199999999999989,0,0,0,4057.2
H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0,6.334146596858639,11.199999999999989,0,0,0,3558.2999999999997
L,297.7,308.9,1516,33.7,92,0,0,0,0,0,0,5.349654450261781,11.199999999999989,0,0,0,3100.4
L,297.7,309.0,1507,38.2,94,0,0,0,0,0,0,6.0280000000000005,11.300000000000011,0,0,0,3590.8
M,297.8,309.0,1434,43.3,96,0,0,0,0,0,0,6.501801047120418,11.199999999999989,0,0,0,4156.799999999999
L,297.7,308.9,1838,27.3,99,0,0,0,0,0,0,5.254178010471204,11.199999999999989,0,0,0,2702.7000000000003
M,297.6,308.8,1416,45.9,101,0,0,0,0,0,0,6.805696335078534,11.199999999999989,0,0,0,4635.9
M,297.6,308.8,1357,49.7,104,0,0,0,0,0,0,7.062083769633508,11.199999999999989,0,0,1,5168.8
M,297.5,308.7,1697,28.1,107,0,0,0,0,0,0,4.993267015706807,11.199999999999989,0,0,0,3006.7000000000003
L,297.5,308.7,1443,46.2,110,0,0,0,0,0,0,6.980795811518325,11.199999999999989,0,0,0,5082.0
L,297.5,308.7,1453,37.6,112,0,0,0,0,0,0,5.720712041884817,11.199999999999989,0,0,0,4211.2
L,297.4,308.6,1439,46.4,114,0,0,0,0,0,0,6.9915811518324595,11.200000000000045,0,0,0,5289.599999999999
L,297.4,308.6,1609,36.2,116,0,0,0,0,0,0,6.09903664921466,11.200000000000045,0,0,0,4199.200000000001
L,297.4,308.6,1324,59.1,118,0,0,0,0,0,0,8.193549738219897,11.200000000000045,0,1,1,6973.8
H,297.4,308.6,1420,45.8,120,0,0,0,0,0,0,6.810052356020941,11.200000000000045,0,0,0,5496.0
L,297.4,308.7,1545,36.9,125,0,0,0,0,0,0,5.9696858638743455,11.300000000000011,0,0,0,4612.5
L,297.5,308.8,1477,39.0,127,0,0,0,0,0,0,6.031727748691099,11.300000000000011,0,0,0,4953.0
L,297.4,308.8,1447,58.1,129,0,0,0,0,0,0,8.803214659685864,11.400000000000034,0,1,0,7494.900000000001
L,297.4,308.9,1809,23.8,131,0,0,0,0,0,0,4.508293193717278,11.5,0,0,0,3117.8
L,297.5,308.9,1696,30.9,133,0,0,0,0,0,0,5.48758115183246,11.399999999999977,0,0,0,4109.7
L,297.5,308.9,1427,44.7,135,0,0,0,0,0,0,6.679256544502618,11.399999999999977,0,0,0,6034.5
M,297.4,308.9,1500,46.3,137,0,0,0,0,0,0,7.272251308900524,11.5,0,0,0,6343.099999999999
L,297.5,308.9,1390,44.6,140,0,0,0,0,0,0,6.49151832460733,11.399999999999977,0,0,0,6244.0
L,297.4,308.8,1640,34.2,142,0,0,0,0,0,0,5.873089005235603,11.400000000000034,0,0,0,4856.400000000001
M,297.4,308.8,1628,37.4,144,0,0,0,0,0,0,6.375623036649214,11.400000000000034,0,0,0,5385.599999999999
H,297.3,308.6,1499,37.6,147,0,0,0,0,0,0,5.901821989528796,11.300000000000011,0,0,0,5527.2
M,297.4,308.7,1425,50.3,152,0,0,0,0,0,0,7.505497382198953,11.300000000000011,0,0,0,7645.599999999999
L,297.3,308.6,1586,37.7,155,0,0,0,0,0,0,6.260963350785341,11.300000000000011,0,0,0,5843.5
M,297.3,308.6,1471,50.7,157,0,0,0,0,0,0,7.8093926701570675,11.300000000000011,0,0,0,7959.900000000001
M,297.3,308.6,1431,53.0,160,0,0,0,0,0,0,7.941675392670157,11.300000000000011,0,1,0,8480.0
L,297.2,308.6,1924,22.1,163,0,0,0,0,0,0,4.452397905759162,11.400000000000034,0,0,0,3602.3
M,297.1,308.4,1421,42.0,165,0,0,0,0,0,0,6.249424083769633,11.299999999999955,0,0,0,6930.0
H,297.0,308.4,1305,54.6,168,0,0,0,0,0,0,7.461047120418848,11.399999999999977,0,1,1,9172.800000000001
L,296.9,308.4,1557,32.4,173,0,0,0,0,0,0,5.282387434554973,11.5,0,0,0,5605.2
L,296.9,308.3,1555,38.2,175,0,0,0,0,0,0,6.220000000000001,11.400000000000034,0,0,0,6685.000000000001
H,296.9,308.3,1474,39.2,177,0,0,0,0,0,0,6.05034554973822,11.400000000000034,0,0,0,6938.400000000001
L,296.8,308.3,1506,45.9,182,0,0,0,0,0,0,7.238261780104711,11.5,0,0,0,8353.8
L,296.9,308.4,1390,41.8,184,0,0,0,0,0,0,6.083979057591622,11.5,0,0,0,7691.2
M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0,7.120942408376964,11.5,0,0,0,8723.4
L,296.9,308.3,1513,38.8,189,0,0,0,0,0,0,6.147057591623036,11.400000000000034,0,0,0,7333.2
L,296.8,308.2,1643,34.7,191,0,0,0,0,0,0,5.969853403141362,11.399999999999977,0,0,0,6627.700000000001
L,296.8,308.2,1361,53.8,193,0,0,0,0,0,0,7.6672041884816755,11.399999999999977,0,1,1,10383.4
L,296.7,308.1,1450,40.9,195,0,0,0,0,0,0,6.209947643979057,11.400000000000034,0,0,0,7975.5
L,296.7,308.0,1451,50.7,197,0,0,0,0,0,0,7.703214659685863,11.300000000000011,0,0,0,9987.900000000001
L,296.8,308.1,1289,62.0,199,1,0,0,0,1,0,8.368376963350785,11.300000000000011,0,1,1,12338.0
L,296.8,308.1,1356,48.3,201,0,0,0,0,0,0,6.858094240837696,11.300000000000011,0,0,1,9708.3
H,296.7,308.1,1528,46.3,203,0,0,0,0,0,0,7.4079999999999995,11.400000000000034,0,0,0,9398.9
L,296.6,308.0,1978,22.3,208,0,0,0,0,0,0,4.618785340314136,11.399999999999977,0,0,0,4638.400000000001
L,296.7,308.0,1535,36.8,210,0,0,0,0,0,0,5.914973821989528,11.300000000000011,0,0,0,7727.999999999999
M,296.8,308.1,1843,24.2,212,0,0,0,0,0,0,4.670219895287958,11.300000000000011,0,0,0,5130.4
L,296.9,308.1,1422,48.7,215,0,0,0,0,0,0,7.2514554973822,11.200000000000045,0,0,0,10470.5
L,296.8,308.0,1536,40.4,217,0,0,0,0,0,0,6.497842931937172,11.199999999999989,0,0,0,8766.8
M,296.9,308.1,1483,44.3,219,0,0,0,0,0,0,6.879256544502617,11.200000000000045,0,0,0,9701.699999999999
H,296.8,308.1,1492,43.7,222,0,0,0,0,0,0,6.8272670157068065,11.300000000000011,0,0,0,9701.400000000001
L,296.8,308.0,1584,40.4,227,0,0,0,0,0,0,6.700900523560209,11.199999999999989,0,0,0,9170.8
L,296.9,308.1,1555,33.7,229,0,0,0,0,0,0,5.487277486910996,11.200000000000045,0,0,0,7717.300000000001
L,296.8,308.0,1497,41.7,231,0,0,0,0,0,0,6.536638743455497,11.199999999999989,0,0,0,9632.7
M,296.7,307.8,1537,36.3,233,0,0,0,0,0,0,5.842209424083769,11.100000000000023,0,0,0,8457.9
L,296.7,307.8,1505,39.4,236,0,0,0,0,0,0,6.209109947643979,11.100000000000023,0,0,0,9298.4
L,296.7,307.8,1646,34.6,238,0,0,0,0,0,0,5.963518324607331,11.100000000000023,0,0,0,8234.800000000001
M,296.7,307.8,1286,60.5,0,0,0,0,0,0,0,8.146910994764397,11.100000000000023,0,1,1,0.0
L,296.7,307.8,1400,47.5,3,0,0,0,0,0,0,6.963350785340314,11.100000000000023,0,0,0,142.5
L,296.8,307.9,1337,56.5,5,0,0,0,0,0,0,7.91,11.099999999999966,0,1,1,282.5
L,296.9,308.0,1332,53.9,7,0,0,0,0,0,0,7.517780104712042,11.100000000000023,0,1,1,377.3
L,296.8,308.0,1561,38.3,9,0,0,0,0,0,0,6.260345549738219,11.199999999999989,0,0,0,344.7
L,296.9,308.0,1546,31.1,11,0,0,0,0,0,0,5.034617801047121,11.100000000000023,0,0,0,342.1
L,296.9,308.0,1713,29.3,13,0,0,0,0,0,0,5.25559162303665,11.100000000000023,0,0,0,380.90000000000003
L,296.9,308.0,1343,44.5,15,0,0,0,0,0,0,6.257958115183246,11.100000000000023,0,0,1,667.5
L,296.8,308.0,1391,54.4,17,0,0,0,0,0,0,7.923602094240837,11.199999999999989,0,1,0,924.8
H,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,8.044460732984295,11.199999999999989,0,1,1,1113.4
H,296.8,308.0,1453,51.0,24,0,0,0,0,0,0,7.759476439790576,11.199999999999989,0,0,0,1224.0
L,296.8,308.0,1510,39.4,29,0,0,0,0,0,0,6.229738219895288,11.199999999999989,0,0,0,1142.6
L,296.8,307.9,1448,48.8,31,0,0,0,0,0,0,7.399204188481675,11.099999999999966,0,0,0,1512.8
L,296.7,307.8,1453,46.0,33,0,0,0,0,0,0,6.998743455497382,11.100000000000023,0,0,0,1518.0
L,296.7,307.8,1468,39.2,35,0,0,0,0,0,0,6.025717277486912,11.100000000000023,0,0,0,1372.0
L,296.7,307.8,1382,47.5,37,0,0,0,0,0,0,6.873821989528796,11.100000000000023,0,0,0,1757.5
L,296.7,308.0,1580,32.2,39,0,0,0,0,0,0,5.327329842931938,11.300000000000011,0,0,0,1255.8000000000002
L,296.8,308.0,1666,29.8,41,0,0,0,0,0,0,5.198617801047121,11.199999999999989,0,0,0,1221.8
M,296.9,308.0,1409,50.7,43,0,0,0,0,0,0,7.480240837696336,11.100000000000023,0,0,0,2180.1
L,296.8,308.0,1675,29.7,46,0,0,0,0,0,0,5.209162303664922,11.199999999999989,0,0,0,1366.2
L,296.8,307.9,1698,30.8,48,0,0,0,0,0,0,5.476272251308901,11.099999999999966,0,0,0,1478.4
H,296.7,307.9,1579,33.4,50,0,0,0,0,0,0,5.522366492146597,11.199999999999989,0,0,0,1670.0
L,296.7,307.9,1743,27.9,55,0,0,0,0,0,0,5.092115183246073,11.199999999999989,0,0,0,1534.5
M,296.9,308.0,1497,44.8,57,0,0,0,0,0,0,7.022575916230365,11.100000000000023,0,0,0,2553.6
L,296.9,308.1,1741,28.8,60,0,0,0,0,0,0,5.2503455497382205,11.200000000000045,0,0,0,1728.0
L,296.9,308.1,1435,45.3,62,0,0,0,0,0,0,6.806858638743455,11.200000000000045,0,0,0,2808.6
M,296.9,308.1,1440,46.3,64,0,0,0,0,0,0,6.981361256544503,11.200000000000045,0,0,0,2963.2
M,296.9,308.0,1641,33.3,67,0,0,0,0,0,0,5.722020942408377,11.100000000000023,0,0,0,2231.1
L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0,6.750575916230367,11.099999999999966,0,0,0,3178.0
L,296.8,307.9,1611,35.4,72,0,0,0,0,0,0,5.971664921465968,11.099999999999966,0,0,0,2548.7999999999997
L,296.8,307.8,1373,42.9,74,0,0,0,0,0,0,6.1677172774869105,11.0,0,0,0,3174.6
M,296.8,307.9,1683,31.8,76,0,0,0,0,0,0,5.604125654450262,11.099999999999966,0,0,0,2416.8
H,296.9,307.9,1547,32.6,79,0,0,0,0,0,0,5.280858638743456,11.0,0,0,0,2575.4
L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0,6.218324607329843,10.900000000000034,0,0,0,3108.0
M,296.9,307.9,2010,18.9,86,0,0,0,0,0,0,3.9779057591623035,11.0,0,0,0,1625.3999999999999
L,296.8,307.7,1565,40.1,89,0,0,0,0,0,0,6.5713612565445025,10.899999999999977,0,0,0,3568.9
M,296.9,307.8,1828,24.6,91,0,0,0,0,0,0,4.708774869109948,10.900000000000034,0,0,0,2238.6
M,297.0,307.8,1579,34.1,94,0,0,0,0,0,0,5.638104712041885,10.800000000000011,0,0,0,3205.4
M,297.0,307.9,1882,24.2,97,0,0,0,0,0,0,4.769047120418849,10.899999999999977,0,0,0,2347.4
L,296.9,307.8,1285,52.1,100,0,0,0,0,0,0,7.010314136125654,10.900000000000034,0,0,1,5210.0
L,296.9,307.8,1571,35.0,102,0,0,0,0,0,0,5.7575916230366495,10.900000000000034,0,0,0,3570.0
H,296.9,307.8,1549,37.8,104,0,0,0,0,0,0,6.131120418848167,10.900000000000034,0,0,0,3931.2
M,296.9,307.8,1544,37.6,109,0,0,0,0,0,0,6.078994764397906,10.900000000000034,0,0,0,4098.400000000001
M,297.0,307.9,1412,47.4,112,0,0,0,0,0,0,7.008251308900524,10.899999999999977,0,0,0,5308.8
M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0,7.8917277486911,10.899999999999977,0,1,0,6095.0
L,297.0,307.7,1867,22.8,118,0,0,0,0,0,0,4.457340314136125,10.699999999999989,0,0,0,2690.4
L,296.9,307.7,1424,43.3,120,0,0,0,0,0,0,6.456460732984293,10.800000000000011,0,0,0,5196.0
L,296.9,307.6,1452,45.7,122,0,0,0,0,0,0,6.9483141361256555,10.700000000000045,0,0,0,5575.400000000001
L,296.9,307.7,1550,39.7,124,0,0,0,0,0,0,6.4434554973822,10.800000000000011,0,0,0,4922.8
L,296.8,307.6,1588,37.6,126,0,0,0,0,0,0,6.252230366492147,10.800000000000011,0,0,0,4737.6
L,296.8,307.6,1338,44.4,128,0,0,0,0,0,0,6.2206492146596855,10.800000000000011,0,0,1,5683.2
L,296.8,307.6,1513,40.0,130,0,0,0,0,0,0,6.33717277486911,10.800000000000011,0,0,0,5200.0
M,296.8,307.5,1470,45.9,132,0,0,0,0,0,0,7.065235602094241,10.699999999999989,0,0,0,6058.8
M,296.8,307.5,1516,36.7,135,0,0,0,0,0,0,5.825884816753927,10.699999999999989,0,0,0,4954.5
L,296.8,307.6,1434,48.3,138,0,0,0,0,0,0,7.252586387434555,10.800000000000011,0,0,0,6665.4
L,296.8,307.6,1368,52.0,140,0,0,0,0,0,0,7.448795811518325,10.800000000000011,0,0,0,7280.0
L,296.8,307.6,1304,48.7,142,0,0,0,0,0,0,6.6497172774869115,10.800000000000011,0,0,1,6915.400000000001
L,296.8,307.6,1398,46.7,144,0,0,0,0,0,0,6.836293193717278,10.800000000000011,0,0,0,6724.8
L,296.7,307.6,1516,37.4,146,0,0,0,0,0,0,5.937005235602094,10.900000000000034,0,0,0,5460.4
L,296.7,307.6,1474,41.7,148,0,0,0,0,0,0,6.43620942408377,10.900000000000034,0,0,0,6171.6
M,296.7,307.6,1547,34.7,150,0,0,0,0,0,0,5.62103664921466,10.900000000000034,0,0,0,5205.0
M,296.6,307.5,1482,39.9,153,0,0,0,0,0,0,6.191811518324607,10.899999999999977,0,0,0,6104.7
L,296.6,307.4,1436,42.8,156,0,0,0,0,0,0,6.435685863874345,10.799999999999955,0,0,0,6676.799999999999
L,296.6,307.3,1474,40.0,158,0,0,0,0,0,0,6.173821989528796,10.699999999999989,0,0,0,6320.0
L,296.5,307.2,1481,38.2,160,0,0,0,0,0,0,5.924,10.699999999999989,0,0,0,6112.0
L,296.5,307.3,1501,42.1,162,0,0,0,0,0,0,6.616973821989529,10.800000000000011,0,0,0,6820.2
L,296.5,307.3,1566,37.2,164,0,0,0,0,0,0,6.100020942408378,10.800000000000011,0,0,0,6100.8
L,296.5,307.3,1579,34.5,166,0,0,0,0,0,0,5.704240837696335,10.800000000000011,0,0,0,5727.0
L,296.6,307.4,1631,35.0,168,0,0,0,0,0,0,5.977486910994765,10.799999999999955,0,0,0,5880.0
M,296.6,307.4,1544,42.3,170,0,0,0,0,0,0,6.838869109947644,10.799999999999955,0,0,0,7190.999999999999
L,296.6,307.4,1521,38.6,173,0,0,0,0,0,0,6.147706806282723,10.799999999999955,0,0,0,6677.8
L,296.6,307.4,1616,28.0,175,0,0,0,0,0,0,4.738010471204189,10.799999999999955,0,0,0,4900.0
H,296.6,307.4,1333,50.2,177,0,0,0,0,0,0,7.006973821989529,10.799999999999955,0,0,1,8885.4
M,296.7,307.4,1533,32.5,182,0,0,0,0,0,0,5.217015706806283,10.699999999999989,0,0,0,5915.0
L,296.6,307.4,1368,45.1,185,0,0,0,0,0,0,6.460397905759162,10.799999999999955,0,0,0,8343.5
L,296.6,307.4,1465,47.8,187,0,0,0,0,0,0,7.332670157068063,10.799999999999955,0,0,0,8938.6
H,296.6,307.4,1406,41.5,189,0,0,0,0,0,0,6.109842931937173,10.799999999999955,0,0,0,7843.5
M,296.5,307.4,1565,43.5,194,0,0,0,0,0,0,7.128534031413612,10.899999999999977,0,0,0,8439.0
L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0,6.278303664921466,10.899999999999977,0,0,0,7466.299999999999
L,296.6,307.5,1439,45.5,199,0,0,0,0,0,0,6.8559685863874344,10.899999999999977,0,0,0,9054.5
M,296.6,307.5,1566,35.0,201,0,0,0,0,0,0,5.739267015706806,10.899999999999977,0,0,0,7035.0
L,296.6,307.5,1485,42.7,204,0,0,0,0,0,0,6.639738219895289,10.899999999999977,0,0,0,8710.800000000001
L,296.5,307.5,1566,35.1,206,0,0,0,0,0,0,5.755664921465969,11.0,0,0,0,7230.6
L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0,6.253246073298429,11.0,0,0,0,8632.0
M,296.4,307.4,1416,50.0,210,0,0,0,0,0,0,7.4136125654450264,11.0,0,0,0,10500.0
L,296.4,307.4,2833,5.6,213,1,0,0,1,0,0,1.6612356020942407,11.0,0,0,0,1192.8
L,296.3,307.4,1465,47.1,215,0,0,0,0,0,0,7.225287958115183,11.099999999999966,0,0,0,10126.5
H,296.4,307.4,1586,35.5,0,0,0,0,0,0,0,5.895602094240838,11.0,0,0,0,0.0
L,296.3,307.3,1567,31.4,5,0,0,0,0,0,0,5.152230366492146,11.0,0,0,0,157.0
M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0,7.06862827225131,11.0,0,0,0,340.2
M,296.3,307.3,1368,49.5,10,0,0,0,0,0,0,7.090680628272251,11.0,0,0,0,495.0
L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0,7.409005235602094,11.0,0,0,0,637.0
M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0,6.525319371727749,11.0,0,0,0,624.0
L,296.1,307.2,1615,30.8,18,0,0,0,0,0,0,5.208586387434555,11.099999999999966,0,0,0,554.4
L,296.1,307.1,1898,22.7,20,0,0,0,0,0,0,4.5114764397905756,11.0,0,0,0,454.0
M,296.1,307.1,1350,53.3,22,0,0,0,0,0,0,7.534554973821989,11.0,0,1,1,1172.6
M,296.2,307.0,1516,37.6,25,0,0,0,0,0,0,5.96875392670157,10.800000000000011,0,0,0,940.0
H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0,6.5555183246073305,10.800000000000011,0,0,0,1136.8
H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,5.260376963350786,10.799999999999955,0,0,0,1075.8
M,296.1,306.9,1951,23.3,38,0,0,0,0,0,0,4.760031413612566,10.799999999999955,0,0,0,885.4
H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0,5.33979057591623,10.699999999999989,0,0,0,1271.0
L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0,6.553633507853403,10.699999999999989,0,0,0,2033.2
M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0,4.77290052356021,10.699999999999989,0,0,0,1070.4
L,295.9,306.6,1414,50.2,51,0,0,0,0,0,0,7.432753926701571,10.700000000000045,0,0,0,2560.2000000000003
L,295.9,306.6,1678,26.7,53,0,0,0,0,0,0,4.691371727748691,10.700000000000045,0,0,0,1415.1
H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,5.54144502617801,10.600000000000023,0,0,0,1826.0000000000002
M,295.8,306.5,1514,37.7,60,0,0,0,0,0,0,5.976732984293194,10.699999999999989,0,0,0,2262.0
L,295.8,306.5,1358,49.2,63,0,0,0,0,0,0,6.996188481675393,10.699999999999989,0,0,1,3099.6000000000004
L,295.8,306.4,1325,56.2,65,0,0,0,0,0,0,7.79738219895288,10.599999999999966,0,1,1,3653.0
L,295.8,306.4,1339,53.2,67,0,0,0,0,0,0,7.4591413612565445,10.599999999999966,0,1,1,3564.4
M,295.8,306.4,1335,51.7,69,0,0,0,0,0,0,7.22717277486911,10.599999999999966,0,0,1,3567.3
L,295.9,306.4,1892,21.7,72,0,0,0,0,0,0,4.299099476439791,10.5,0,0,0,1562.3999999999999
L,295.9,306.4,1575,28.5,74,0,0,0,0,0,0,4.700261780104712,10.5,0,0,0,2109.0
M,295.8,306.3,1444,45.5,76,0,0,0,0,0,0,6.87979057591623,10.5,0,0,0,3458.0
L,295.7,306.3,1915,22.4,79,0,0,0,0,0,0,4.491727748691099,10.600000000000023,0,0,0,1769.6
M,295.6,306.2,1584,33.6,81,0,0,0,0,0,0,5.573026178010472,10.599999999999966,0,0,0,2721.6
M,295.7,306.3,1685,34.9,84,0,0,0,0,0,0,6.157748691099476,10.600000000000023,0,0,0,2931.6
L,295.8,306.3,1337,54.6,87,0,0,0,0,0,0,7.644,10.5,0,1,1,4750.2
M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0,9.85413612565445,10.5,0,1,1,6781.8
L,295.7,306.2,1464,46.2,92,0,0,0,0,0,0,7.082387434554974,10.5,0,0,0,4250.400000000001
M,295.7,306.2,1739,25.9,94,0,0,0,0,0,0,4.7162408376963345,10.5,0,0,0,2434.6
L,295.7,306.3,1490,34.3,97,0,0,0,0,0,0,5.351518324607329,10.600000000000023,0,0,0,3327.1
L,295.8,306.4,1356,48.0,99,0,0,0,0,0,0,6.815497382198953,10.599999999999966,0,0,1,4752.0
L,295.7,306.2,1397,52.0,101,0,0,0,0,0,0,7.606701570680628,10.5,0,0,0,5252.0
L,295.7,306.2,1458,40.6,103,0,0,0,0,0,0,6.198408376963351,10.5,0,0,0,4181.8
H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0,3.7336649214659685,10.5,0,0,0,1732.5
M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0,4.8579162303664924,10.5,0,0,0,3091.0
L,295.6,306.1,1389,46.2,113,0,0,0,0,0,0,6.719560209424084,10.5,0,0,0,5220.6
L,295.6,306.0,1370,52.4,115,0,0,0,0,0,0,7.517068062827225,10.399999999999977,0,0,0,6026.0
L,295.7,306.1,1408,47.9,117,0,0,0,0,0,0,7.062115183246073,10.400000000000034,0,0,0,5604.3
L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,7.650178010471204,10.400000000000034,0,1,1,6473.599999999999
